root info:  osm {'version': '0.6', 'generator': 'CGImap 0.8.6 (2356102 spike-08.openstreetmap.org)', 'copyright': 'OpenStreetMap and contributors', 'attribution': 'http://www.openstreetmap.org/copyright', 'license': 'http://opendatacommons.org/licenses/odbl/1-0/'}
nspaces =  {}
node 1067665143 : ('33.6597790', '130.6488260')
node 1067665237 : ('33.6584600', '130.6729720')
node 1067665331 : ('33.6508124', '130.6738220')
node 1067665537 : ('33.6726477', '130.6643072')
node 1067665542 : ('33.6497412', '130.6751215')
node 1067665587 : ('33.6594080', '130.6740201')
node 1067665618 : ('33.6608320', '130.6488330')
node 1067665647 : ('33.6372077', '130.6516890')
node 1067665740 : ('33.6589507', '130.6833250')
node 1067665771 : ('33.6600348', '130.6828258')
node 1067665809 : ('33.6573074', '130.6739062')
node 1067665999 : ('33.6417875', '130.6485375')
node 1067666047 : ('33.6412493', '130.6670214')
node 1067666095 : ('33.6580920', '130.6539010')
node 1067666214 : ('33.6576640', '130.6501680')
node 1067666251 : ('33.6701950', '130.6750750')
node 1067666379 : ('33.6703732', '130.6767675')
node 1067666407 : ('33.6619574', '130.6627140')
node 1067666454 : ('33.6586255', '130.6721313')
node 1067666523 : ('33.6502335', '130.6768004')
node 1067666554 : ('33.6588050', '130.6487260')
node 1067666646 : ('33.6627296', '130.6676478')
node 1067666669 : ('33.6417788', '130.6678916')
node 1067666717 : ('33.6610690', '130.6506870')
node 1067667014 : ('33.6593157', '130.6779929')
node 1067667114 : ('33.6668560', '130.6784072')
node 1067667200 : ('33.6436279', '130.6496312')
node 1067667246 : ('33.6589180', '130.6504330')
node 1067667415 : ('33.6597580', '130.6500760')
node 1067667603 : ('33.6701350', '130.6740930')
node 1067667605 : ('33.6346669', '130.6520064')
node 1067667683 : ('33.6629393', '130.6638663')
node 1067667720 : ('33.6602975', '130.6739148')
node 1067667731 : ('33.6479935', '130.6496976')
node 1067667757 : ('33.6413805', '130.6666808')
node 1067667771 : ('33.6511077', '130.6771786')
node 1067667775 : ('33.6692406', '130.6773796')
node 1067667795 : ('33.6417368', '130.6486177')
node 1067667825 : ('33.6593010', '130.6491560')
node 1067667837 : ('33.6377412', '130.6531279')
node 1067667882 : ('33.6655231', '130.6659064')
node 1067667889 : ('33.6572410', '130.6533570')
node 1067667931 : ('33.6730627', '130.6687562')
node 1067668245 : ('33.6691394', '130.6769668')
node 1067668327 : ('33.6473434', '130.6487195')
node 1067668348 : ('33.6586185', '130.6727895')
node 1067668451 : ('33.6529451', '130.6792652')
node 1067668470 : ('33.6544385', '130.6782890')
node 1067668514 : ('33.6498512', '130.6739760')
