edge_id,start,end,length,linestring,highway,oneway,reversed,lanes,name
64,21,8588,3.793,LINESTRING (131.6703585 32.5053014 131.6703271 32.5052799),secondary,False,False,nan,土々呂日向線
65,21,26,27.205,LINESTRING (131.6703585 32.5053014 131.6705807 32.5054587),secondary,False,True,nan,土々呂日向線
66,21,13,57.216,LINESTRING (131.6703585 32.5053014 131.6706457 32.5049692 131.6707227 32.5048887),unclassified,False,False,nan,nan
67,22,8635,14.607,LINESTRING (131.6689588 32.5053018 131.6690584 32.5052008),service,False,False,nan,nan
68,22,8582,43.256,LINESTRING (131.6689588 32.5053018 131.6693102 32.5055538),service,False,False,nan,nan
69,22,8579,41.521,LINESTRING (131.6689588 32.5053018 131.6686151 32.5050664),service,False,True,nan,nan
70,23,29,25.806,LINESTRING (131.6701137 32.5054021 131.6699346 32.5055783),service,False,True,nan,nan
71,23,8602,18.994,LINESTRING (131.6701137 32.5054021 131.6701169 32.5053472 131.670097 32.5052883 131.6700471 32.5052535),service,False,False,nan,nan
72,23,8588,26.253,LINESTRING (131.6701137 32.5054021 131.6701533 32.5054057 131.6701881 32.5054047 131.6702214 32.5053893 131.6703271 32.5052799),service,False,False,nan,nan
73,24,28,7.635,LINESTRING (131.678515 32.505463 131.6785454 32.5055267),unclassified,False,False,nan,nan
74,24,8485,346.004,LINESTRING (131.678515 32.505463 131.6786352 32.5054201 131.6790767 32.5053568 131.6791199 32.5053125 131.6791593 32.50507 131.6791886 32.5050594 131.6794769 32.505104 131.6795155 32.505098 131.6797254 32.5050473 131.6798244 32.5049882 131.6798919 32.5049588 131.6799435 32.5049473 131.6801493 32.5049591 131.680183 32.50495 131.6802146 32.5049294 131.680261 32.5048888 131.6802767 32.5048607 131.6804543 32.5044166 131.68049 32.504343 131.6805391 32.504241 131.680577 32.5041978 131.6806217 32.5041619 131.6806814 32.5041205 131.6808426 32.5040305 131.6809159 32.5039863 131.6809422 32.5039603 131.6809522 32.5039336 131.6809727 32.5037708),residential,False,True,nan,nan
75,24,17,74.015,LINESTRING (131.678515 32.505463 131.6784246 32.5052971 131.6783602 32.5052507 131.6782826 32.5052168 131.6780372 32.5051486 131.6779699 32.5051179 131.6779213 32.5050805),unclassified,False,True,nan,nan
76,25,3519,154.031,LINESTRING (131.6717901 32.5055159 131.6733013 32.5060587),trunk,False,True,2.0,国道10号
77,25,13,122.195,LINESTRING (131.6717901 32.5055159 131.6713709 32.5053065 131.6707227 32.5048887),trunk,False,False,2.0,国道10号
78,25,19,69.721,LINESTRING (131.6717901 32.5055159 131.671866 32.5053713 131.6720638 32.5049331),unclassified,False,True,nan,nan
79,26,21,27.205,LINESTRING (131.6705807 32.5054587 131.6703585 32.5053014),secondary,False,False,nan,土々呂日向線
80,26,30,38.743,LINESTRING (131.6705807 32.5054587 131.6709028 32.5056769),secondary,False,True,nan,土々呂日向線
81,26,36,116.784,LINESTRING (131.6705807 32.5054587 131.6702203 32.5057987 131.6700583 32.5059822 131.6698042 32.5061562 131.6697011 32.506177),residential,False,True,nan,nan
82,27,7258,32.906,LINESTRING (131.6859814 32.5058366 131.6860043 32.5061319),residential,False,True,nan,nan
83,27,7259,42.789,LINESTRING (131.6859814 32.5058366 131.6855258 32.5058579),residential,False,True,nan,nan
