u,v,key,osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,service,width,bridge,maxspeed,tunnel,access
376338956,376338937,0,33197749,trunk_link,False,False,49.971,"LINESTRING (130.3731181 33.5756761, 130.3731259 33.5756023, 130.3730901 33.5755668, 130.3727346 33.5754237)",,,,,,,,,
376338968,376338937,0,33197752,service,False,True,27.236,"LINESTRING (130.3728505 33.5751986, 130.3727346 33.5754237)",,,,alley,,,,,
376338968,1894331764,0,169634232,service,False,False,38.939,"LINESTRING (130.3728505 33.5751986, 130.373194 33.5754004)",,,,alley,,,,,
376338968,1808046715,0,169634232,service,False,True,61.49,"LINESTRING (130.3728505 33.5751986, 130.3727966 33.5750626, 130.3727832 33.5749173, 130.3727095 33.5746605)",,,,alley,,,,,
502929786,2180595032,0,179303654,secondary,False,True,12.547,"LINESTRING (130.36939 33.5899726, 130.36946 33.589876)",2,557,東油山唐人線,,5,,,,
502929786,1806886906,0,62799036,tertiary,False,True,40.29,"LINESTRING (130.36939 33.5899726, 130.369333 33.5900534, 130.3691604 33.5902803)",2,,,,5,,,,
502929786,766978349,0,179303793,tertiary,True,False,134.968,"LINESTRING (130.36939 33.5899726, 130.3694757 33.5900182, 130.3696543 33.5901081, 130.3697482 33.5901469, 130.3698376 33.5901794, 130.370045 33.5902441, 130.3702766 33.5902921, 130.3706028 33.5903202, 130.3707586 33.5903309)",3,,明治通り,,7.5,,,,
540037680,540037681,0,43105214,tertiary,False,False,32.236,"LINESTRING (130.372354 33.5930081, 130.372267 33.5932888)",4,,黒門川通り,,,,,,
540037680,1752052769,0,43105215,tertiary,False,False,114.459,"LINESTRING (130.372354 33.5930081, 130.3726562 33.59201)",4,,黒門川通り,,10,,,,
540037680,1752052813,0,43105224,tertiary,False,True,27.878,"LINESTRING (130.372354 33.5930081, 130.3726544 33.5929926)",4,,那の津通り,,10,,,,
540037681,1806886814,0,43105214,tertiary,False,False,102.788,"LINESTRING (130.372267 33.5932888, 130.3719834 33.5941825)",4,,黒門川通り,,,,,,
540037681,540037680,0,43105214,tertiary,False,True,32.236,"LINESTRING (130.372267 33.5932888, 130.372354 33.5930081)",4,,黒門川通り,,,,,,
540037681,5505379047,0,180105246,residential,False,True,10.7,"LINESTRING (130.372267 33.5932888, 130.3721526 33.5932754)",,,,,,,,,
707577887,1885332226,0,175889839,tertiary,False,True,10.294,"LINESTRING (130.3730703 33.6000671, 130.3730579 33.6001591)",4,,,,,,,,
707577887,1905386326,0,"[178160322, 827178007]",tertiary,True,False,58.301,"LINESTRING (130.3730703 33.6000671, 130.3727265 33.5999538, 130.3724971 33.5998523)",2,,,,5,,,,
707577896,6784287936,0,180105272,residential,False,False,83.634,"LINESTRING (130.3708808 33.5985718, 130.3716972 33.5982504)",,,,,,,,,
707577896,6120926447,0,653077805,tertiary,True,False,29.848,"LINESTRING (130.3708808 33.5985718, 130.370806 33.5984472, 130.3707467 33.5983279)",2,,,,5,,,,
707577905,707577908,0,653077805,tertiary,True,False,46.81,"LINESTRING (130.3705928 33.5974801, 130.3705349 33.5970619)",2,,,,5,,,,
707577905,6120926407,0,180105279,residential,False,False,43.349,"LINESTRING (130.3705928 33.5974801, 130.3707179 33.5974638, 130.3710176 33.5973276)",,,,,,,,,
707577908,6120926408,0,180105255,residential,False,True,26.489,"LINESTRING (130.3705349 33.5970619, 130.3707981 33.5969687)",,,,,,,,,
707577908,1905385975,0,653077805,tertiary,True,False,58.974,"LINESTRING (130.3705349 33.5970619, 130.370469 33.5966608, 130.3704054 33.596547)",2,,,,5,,,,
734832501,734832502,0,703511017,tertiary,False,False,64.519,"LINESTRING (130.3518419 33.574372, 130.3525355 33.5744241)",2,,,,5,,,,
734832501,1783262656,0,703511017,tertiary,False,True,121.652,"LINESTRING (130.3518419 33.574372, 130.3514177 33.5743579, 130.3510697 33.5743785, 130.3505304 33.5743959)",2,,,,5,,,,
734832502,1804734372,0,179100116,tertiary,False,True,91.638,"LINESTRING (130.3525355 33.5744241, 130.3525847 33.573601)",2,,,,5,,,,
734832502,734832504,0,703511017,tertiary,False,False,128.266,"LINESTRING (130.3525355 33.5744241, 130.3539154 33.5745181)",2,,,,5,,,,
734832502,734832501,0,703511017,tertiary,False,True,64.519,"LINESTRING (130.3525355 33.5744241, 130.3518419 33.574372)",2,,,,5,,,,
734832504,1804734413,0,169305864,residential,False,True,95.431,"LINESTRING (130.3539154 33.5745181, 130.3539768 33.5736614)",,,,,,,,,
734832504,734832505,0,703511017,tertiary,False,False,103.064,"LINESTRING (130.3539154 33.5745181, 130.3550206 33.5746239)",2,,,,5,,,,
734832504,734832502,0,703511017,tertiary,False,True,128.266,"LINESTRING (130.3539154 33.5745181, 130.3525355 33.5744241)",2,,,,5,,,,
734832505,1783262683,0,169305855,tertiary,False,False,42.836,"LINESTRING (130.3550206 33.5746239, 130.3550083 33.575009)",2,,,,5,,,,
734832505,1804734400,0,169305855,tertiary,False,True,54.283,"LINESTRING (130.3550206 33.5746239, 130.3550595 33.5741368)",2,,,,5,,,,
734832505,734832506,0,703511017,tertiary,False,False,121.654,"LINESTRING (130.3550206 33.5746239, 130.3563301 33.5747052)",2,,,,5,,,,
734832505,734832504,0,703511017,tertiary,False,True,103.064,"LINESTRING (130.3550206 33.5746239, 130.3539154 33.5745181)",2,,,,5,,,,
734832506,1804734423,0,166911414,residential,False,False,57.269,"LINESTRING (130.3563301 33.5747052, 130.3563653 33.574191)",,,,,,,,,
734832506,1783262729,0,166911414,residential,False,True,37.778,"LINESTRING (130.3563301 33.5747052, 130.356307 33.5750444)",,,,,,,,,
734832506,6991526747,0,703511017,tertiary,False,False,57.73,"LINESTRING (130.3563301 33.5747052, 130.356952 33.5747379)",2,,,,5,,,,
734832506,734832505,0,703511017,tertiary,False,True,121.654,"LINESTRING (130.3563301 33.5747052, 130.3550206 33.5746239)",2,,,,5,,,,
