osmid,y,x,street_count,highway,ref,geometry
1792687226,33.5767455,130.3620394,3,,,POINT (130.3620394 33.5767455)
1792687228,33.5788713,130.364876,4,,,POINT (130.364876 33.5788713)
1792687230,33.5797465,130.3634489,3,,,POINT (130.3634489 33.5797465)
1792687231,33.5782028,130.3647934,3,,,POINT (130.3647934 33.5782028)
1792687232,33.5808159,130.3658173,3,,,POINT (130.3658173 33.5808159)
1792687233,33.5808672,130.36641,3,,,POINT (130.36641 33.5808672)
1792687234,33.5807399,130.3607559,3,,,POINT (130.3607559 33.5807399)
1792687237,33.5768232,130.3664484,4,,,POINT (130.3664484 33.5768232)
1792687238,33.5782785,130.3639545,3,,,POINT (130.3639545 33.5782785)
1792687239,33.5808404,130.3650142,4,,,POINT (130.3650142 33.5808404)
1792687241,33.5752943,130.3623838,4,,,POINT (130.3623838 33.5752943)
1792687242,33.5772546,130.3634723,4,,,POINT (130.3634723 33.5772546)
1792687243,33.5824716,130.3611927,4,,,POINT (130.3611927 33.5824716)
1792687244,33.5786964,130.3667172,4,,,POINT (130.3667172 33.5786964)
1792687245,33.5811259,130.3641082,3,,,POINT (130.3641082 33.5811259)
1792687246,33.5808192,130.3661124,3,,,POINT (130.3661124 33.5808192)
1792687247,33.5820949,130.3624958,4,,,POINT (130.3624958 33.5820949)
1792687248,33.5826206,130.3611594,4,,,POINT (130.3611594 33.5826206)
1792690527,33.577018,130.3503572,3,,,POINT (130.3503572 33.577018)
1792690528,33.5762087,130.3598697,3,,,POINT (130.3598697 33.5762087)
1792690529,33.5762618,130.3592962,4,,,POINT (130.3592962 33.5762618)
1792690531,33.5772093,130.3538962,3,,,POINT (130.3538962 33.5772093)
1792690533,33.5775285,130.3535095,4,,,POINT (130.3535095 33.5775285)
1792690535,33.5802793,130.3607308,3,,,POINT (130.3607308 33.5802793)
1792690536,33.5761931,130.3600386,4,,,POINT (130.3600386 33.5761931)
1792690537,33.5774267,130.3588981,4,,,POINT (130.3588981 33.5774267)
1792690541,33.5768682,130.3615786,4,,,POINT (130.3615786 33.5768682)
1792690543,33.5769936,130.3610939,4,,,POINT (130.3610939 33.5769936)
1792690547,33.5779861,130.3548887,3,,,POINT (130.3548887 33.5779861)
1792690551,33.5812598,130.350981,4,,,POINT (130.350981 33.5812598)
1792690552,33.5812793,130.3542391,3,,,POINT (130.3542391 33.5812793)
1792690553,33.5783285,130.3545059,4,,,POINT (130.3545059 33.5783285)
1792690557,33.5775576,130.3581683,4,,,POINT (130.3581683 33.5775576)
1792690558,33.5800906,130.3556342,4,,,POINT (130.3556342 33.5800906)
1792690559,33.576989,130.3489541,3,,,POINT (130.3489541 33.576989)
1792690565,33.5779333,130.3614889,3,,,POINT (130.3614889 33.5779333)
1792690567,33.5806237,130.3597917,3,,,POINT (130.3597917 33.5806237)
1792690568,33.575684,130.3618409,1,,,POINT (130.3618409 33.575684)
1792690569,33.5761138,130.3608947,4,,,POINT (130.3608947 33.5761138)
1792690570,33.5801,130.3591621,3,,,POINT (130.3591621 33.5801)
1792690571,33.5801764,130.3597777,4,,,POINT (130.3597777 33.5801764)
1792690573,33.5756133,130.3625396,3,,,POINT (130.3625396 33.5756133)
1792690574,33.5810821,130.3533012,4,,,POINT (130.3533012 33.5810821)
1792690575,33.5774902,130.3576725,3,,,POINT (130.3576725 33.5774902)
1792690576,33.5799071,130.3570486,3,,,POINT (130.3570486 33.5799071)
1792690577,33.5752809,130.3624988,4,,,POINT (130.3624988 33.5752809)
1792690578,33.5789187,130.3606299,4,,,POINT (130.3606299 33.5789187)
1792690579,33.5771677,130.3484795,3,,,POINT (130.3484795 33.5771677)
1792690583,33.5768095,130.3605352,3,,,POINT (130.3605352 33.5768095)
1792690585,33.5749843,130.362361,4,,,POINT (130.362361 33.5749843)
1792690586,33.5752261,130.3606611,4,,,POINT (130.3606611 33.5752261)
1792690587,33.5781437,130.360463,4,,,POINT (130.360463 33.5781437)
1792690588,33.577359,130.359324,4,,,POINT (130.359324 33.577359)
1792690589,33.5755532,130.362636,3,,,POINT (130.362636 33.5755532)
1792690590,33.5790469,130.3574482,4,,,POINT (130.3574482 33.5790469)
1792690591,33.5791429,130.3555276,3,,,POINT (130.3555276 33.5791429)
1792690592,33.5749411,130.3611164,3,,,POINT (130.3611164 33.5749411)
1792690594,33.5766599,130.3630683,3,,,POINT (130.3630683 33.5766599)
1792690598,33.5818846,130.3554253,3,,,POINT (130.3554253 33.5818846)
1792690599,33.5772204,130.3600599,4,,,POINT (130.3600599 33.5772204)
1792690600,33.5777688,130.3619595,3,,,POINT (130.3619595 33.5777688)
1792690601,33.580915,130.3523057,3,,,POINT (130.3523057 33.580915)
1792690603,33.5748357,130.3588633,4,,,POINT (130.3588633 33.5748357)
1792690606,33.5783528,130.3573361,4,,,POINT (130.3573361 33.5783528)
1792690607,33.5773406,130.3532865,1,,,POINT (130.3532865 33.5773406)
1792690608,33.5787846,130.3600157,3,,,POINT (130.3600157 33.5787846)
1792690609,33.5781764,130.359905,4,,,POINT (130.359905 33.5781764)
1792691383,33.5878679,130.3599288,3,,,POINT (130.3599288 33.5878679)
1792691384,33.5851339,130.3578366,3,,,POINT (130.3578366 33.5851339)
